50.49671,35.86174,37.64769
50.52303,36.76585,37.76586
49.57921,38.76743,37.53053
47.54256,37.53658,36.53427
47.24196,35.08672,36.27508
46.43771,34.98717,39.31425
46.09198,34.58770,41.46565
45.77422,36.06753,38.57525
44.45562,35.11092,38.84901
44.37570,33.39936,40.70831
42.39829,34.85228,41.98650
41.94229,34.82254,39.77916
43.20886,31.04033,39.67181
43.19686,32.73847,42.17137
43.88435,30.69890,41.52148
43.28016,31.53936,45.05712
44.34362,29.23696,45.32408
44.61492,30.32308,46.61168
45.03100,30.93128,46.16078
44.69079,29.33126,48.97555
44.52083,28.81434,45.89367
42.80379,30.81253,49.35624
42.92799,30.00353,48.36164
43.35488,30.36140,50.53804
42.96417,32.56464,45.38025
42.82190,32.08705,47.70099
43.09176,29.01243,46.78033
44.35711,32.47789,45.48173
42.19151,31.49824,45.91540
42.32875,30.47024,44.51327
41.09708,32.96864,42.29795
39.67234,32.60789,40.53649
40.29612,34.26106,43.00511
38.76541,33.58463,42.57935
38.65729,33.19772,41.83871
38.40405,35.88619,41.17458
39.25755,34.92555,40.08123
39.97349,35.06023,43.46324
39.80764,36.30155,41.96529
38.83132,36.14282,43.75193
41.79103,34.09061,43.40279
40.59815,35.58686,44.19046
42.00946,33.43370,43.09965
43.49652,32.44934,43.06856
42.93770,33.47359,43.08058
46.54993,32.21675,42.67794
46.81352,32.76914,43.22746
47.30714,32.39252,44.18463
47.25988,33.78182,42.76305
46.67954,32.52194,45.29698
47.25049,31.34645,44.31998
46.23225,32.29307,45.28565
48.86577,33.47383,45.80870
48.65655,31.02532,47.78708
49.15860,32.17932,47.96338
47.41278,32.82206,49.89679
46.75461,31.24626,48.11049
46.18419,32.92290,49.34115
46.27669,34.82718,48.01300
47.45353,32.73534,50.72017
45.62567,32.14284,47.92911
46.48247,31.77654,49.71400
46.47324,30.92717,48.15321
45.48515,29.55349,50.85640
46.21409,28.75426,50.17318
47.38532,30.11614,49.15373
46.05821,30.85703,48.35779
46.56078,32.08305,48.05380
45.62233,30.06217,48.51504
46.51379,30.51505,52.85273
47.57089,30.13557,48.95400
48.65139,29.68473,48.75897
48.22717,28.76318,48.51464
50.08187,32.31466,46.13273
49.68626,28.38728,46.52807
51.08895,31.06428,44.92226
49.28470,32.67960,46.26963
49.21646,31.04557,45.34840
50.14394,30.63392,43.97486
49.18645,30.33821,47.85243
49.20748,30.88526,48.50499
51.86576,30.79970,48.66550
49.52505,31.34667,49.76545
50.40498,29.73912,49.91786
51.12216,33.03247,46.48063
48.51577,32.26691,47.29233
48.44382,32.77463,48.07307
48.94047,29.75873,46.97561
48.74743,30.75222,48.63241
46.56986,32.55996,46.13074
49.44127,32.56414,46.16316
49.01023,33.01849,44.46210
49.19906,33.39978,43.06980
49.61469,35.11352,43.66213
52.58602,32.76218,45.13303
48.04791,34.84821,42.58832
50.28099,35.37730,40.79188
50.50700,36.41064,40.84960
50.35702,35.30709,39.89960
51.30730,35.81286,38.62963
50.49671,35.86174,37.64769
50.52303,35.76585,37.76586
50.57921,37.76743,36.53053
49.54256,37.53658,36.53427
48.24196,36.08672,36.27508
47.43771,35.98717,38.31425
47.09198,35.58770,38.46565
46.77422,36.06753,35.57525
46.45562,37.11092,36.84901
48.37570,36.39936,38.70831
46.39829,37.85228,39.98650
46.94229,35.82254,38.77916
48.20886,34.04033,37.67181
49.19686,35.73847,40.17137
47.88435,34.69890,37.52148
46.28016,35.53936,39.05712
46.34362,33.23696,37.32408
45.61492,33.32308,36.61168
48.03100,35.93128,34.16078
46.69079,34.33126,36.97555
47.52083,33.81434,34.89367
47.80379,34.81253,37.35624
48.92799,36.00353,35.36164
49.35488,36.36140,35.53804
48.96417,38.56464,32.38025
49.82190,37.08705,33.70099
50.09176,34.01243,34.78033
49.35711,36.47789,33.48173
48.19151,33.49824,35.91540
48.32875,33.47024,35.51327
47.09708,35.96864,35.29795
45.67234,33.60789,33.53649
45.29612,35.26106,34.00511
44.76541,33.58463,32.57935
43.65729,34.19772,33.83871
43.40405,37.88619,35.17458
42.25755,34.92555,32.08123
41.97349,34.06023,37.46324
41.80764,33.30155,34.96529
39.83132,33.14282,35.75193
40.79103,32.09061,36.40279
