36,2,70,61
43,2,71,68
94,3,51,54
92,3,52,56
88,3,55,60
70,3,55,72
68,3,56,70
67,3,57,70
10,3,59,54
65,3,59,70
11,3,60,55
12,3,61,55
60,3,64,71
56,3,68,70
35,3,70,60
37,3,70,62
42,3,70,67
44,3,72,69
52,3,72,74
24,3,73,52
47,3,73,72
25,3,74,53
46,3,74,71
50,3,74,75
49,3,75,74
1,4,50,51
96,4,50,52
2,4,51,50
95,4,51,53
75,4,51,73
74,4,51,74
3,4,52,51
93,4,52,55
91,4,52,57
78,4,52,70
73,4,52,75
79,4,53,69
72,4,53,74
89,4,54,59
82,4,54,66
71,4,54,73
87,4,55,61
84,4,55,64
81,4,55,67
69,4,55,71
9,4,58,54
66,4,58,71
64,4,60,71
63,4,61,72
13,4,62,56
14,4,63,55
61,4,63,71
15,4,64,56
59,4,65,72
57,4,67,71
19,4,68,55
32,4,69,57
41,4,69,66
55,4,69,71
21,4,70,53
31,4,70,56
34,4,70,59
38,4,71,63
53,4,71,73
23,4,72,51
29,4,72,54
45,4,73,70
51,4,73,75
48,4,74,73
26,4,75,52
76,5,51,72
77,5,52,71
4,5,53,52
90,5,53,58
86,5,54,62
85,5,54,63
80,5,54,68
6,5,55,54
83,5,55,65
7,5,56,54
8,5,57,55
62,5,62,72
16,5,65,56
58,5,66,71
18,5,67,56
20,5,69,54
33,5,70,58
40,5,70,65
54,5,70,72
22,5,71,52
30,5,71,55
39,5,71,64
28,5,73,53
27,5,74,53
5,6,54,53
17,6,66,55
