[2, 678, 40],[2, 1035, 37],[2, 1392, 5],[2, 1750, 15],[2, 2107, 20],[2, 2464, 4],[2, 2821, 17],[7, 678, 132],[7, 1035, 2],[7, 1392, 12],[7, 1750, 1],[7, 2107, 3],[7, 2464, 27],[7, 2821, 70],[12, 678, 12],[12, 1035, 16],[12, 1392, 7],[12, 1750, 6],[12, 2107, 16],[12, 2464, 31],[12, 2821, 9],[17, 678, 25],[17, 1035, 12],[17, 1392, 8],[17, 1750, 20],[17, 2107, 21],[17, 2464, 102],[17, 2821, 83],[22, 678, 19],[22, 1035, 6],[22, 1392, 5],[22, 1750, 1],[22, 2107, 20],[22, 2464, 17],[22, 2821, 299],[27, 678, 1],[27, 1035, 10],[27, 1392, 3],[27, 1750, 4],[27, 2107, 8],[27, 2464, 1],[27, 2821, 75],[32, 678, 2],[32, 1035, 14],[32, 1392, 4],[32, 1750, 14],[32, 2107, 21],[32, 2464, 2],[32, 2821, 37]
[2, 678, 38],[2, 1035, 26],[2, 1392, 4],[2, 1750, 2],[2, 2107, 6],[2, 2464, 7],[2, 2821, 145],[7, 678, 43],[7, 1035, 22],[7, 1392, 46],[7, 1750, 5],[7, 2107, 24],[7, 2464, 28],[7, 2821, 61],[12, 678, 4],[12, 1035, 9],[12, 1392, 11],[12, 1750, 32],[12, 2107, 5],[12, 2464, 39],[12, 2821, 86],[17, 678, 5],[17, 1035, 2],[17, 1392, 3],[17, 1750, 3],[17, 2107, 2],[17, 2464, 96],[17, 2821, 56],[22, 678, 27],[22, 1035, 15],[22, 1392, 18],[22, 1750, 1],[22, 2107, 20],[22, 2464, 10],[22, 2821, 155],[27, 678, 2],[27, 1035, 1],[27, 1392, 1],[27, 1750, 32],[27, 2107, 8],[27, 2464, 13],[27, 2821, 11],[32, 678, 5],[32, 1035, 12],[32, 1392, 6],[32, 1750, 3],[32, 2107, 7],[32, 2464, 10],[32, 2821, 15]
[2, 678, 7],[2, 1035, 32],[2, 1392, 8],[2, 1750, 18],[2, 2107, 4],[2, 2464, 37],[2, 2821, 66],[7, 678, 33],[7, 1035, 59],[7, 1392, 3],[7, 1750, 3],[7, 2107, 17],[7, 2464, 32],[7, 2821, 11],[12, 678, 70],[12, 1035, 3],[12, 1392, 1],[12, 1750, 13],[12, 2107, 4],[12, 2464, 6],[12, 2821, 346],[17, 678, 26],[17, 1035, 20],[17, 1392, 1],[17, 1750, 16],[17, 2107, 43],[17, 2464, 53],[17, 2821, 27],[22, 678, 6],[22, 1035, 8],[22, 1392, 5],[22, 1750, 5],[22, 2107, 21],[22, 2464, 30],[22, 2821, 30],[27, 678, 16],[27, 1035, 7],[27, 1392, 1],[27, 1750, 1],[27, 2107, 23],[27, 2464, 36],[27, 2821, 59],[32, 678, 9],[32, 1035, 1],[32, 1392, 13],[32, 1750, 1],[32, 2107, 11],[32, 2464, 6],[32, 2821, 70]
[2, 678, 13],[2, 1035, 35],[2, 1392, 10],[2, 1750, 17],[2, 2107, 6],[2, 2464, 4],[2, 2821, 36],[7, 678, 58],[7, 1035, 13],[7, 1392, 1],[7, 1750, 19],[7, 2107, 14],[7, 2464, 13],[7, 2821, 119],[12, 678, 23],[12, 1035, 18],[12, 1392, 9],[12, 1750, 11],[12, 2107, 12],[12, 2464, 60],[12, 2821, 98],[17, 678, 1],[17, 1035, 9],[17, 1392, 18],[17, 1750, 1],[17, 2107, 7],[17, 2464, 34],[17, 2821, 220],[22, 678, 3],[22, 1035, 8],[22, 1392, 6],[22, 1750, 12],[22, 2107, 7],[22, 2464, 210],[22, 2821, 274],[27, 678, 5],[27, 1035, 1],[27, 1392, 15],[27, 1750, 4],[27, 2107, 2],[27, 2464, 15],[27, 2821, 18],[32, 678, 13],[32, 1035, 14],[32, 1392, 4],[32, 1750, 11],[32, 2107, 22],[32, 2464, 5],[32, 2821, 82]
[2, 678, 50],[2, 1035, 60],[2, 1392, 42],[2, 1750, 40],[2, 2107, 17],[2, 2464, 36],[2, 2821, 54],[7, 678, 13],[7, 1035, 45],[7, 1392, 41],[7, 1750, 4],[7, 2107, 11],[7, 2464, 14],[7, 2821, 190],[12, 678, 10],[12, 1035, 6],[12, 1392, 2],[12, 1750, 5],[12, 2107, 8],[12, 2464, 5],[12, 2821, 56],[17, 678, 2],[17, 1035, 12],[17, 1392, 1],[17, 1750, 2],[17, 2107, 5],[17, 2464, 15],[17, 2821, 106],[22, 678, 30],[22, 1035, 10],[22, 1392, 22],[22, 1750, 5],[22, 2107, 12],[22, 2464, 51],[22, 2821, 20],[27, 678, 3],[27, 1035, 15],[27, 1392, 2],[27, 1750, 8],[27, 2107, 16],[27, 2464, 15],[27, 2821, 115],[32, 678, 6],[32, 1035, 8],[32, 1392, 5],[32, 1750, 3],[32, 2107, 2],[32, 2464, 2],[32, 2821, 155]
[2, 678, 86],[2, 1035, 20],[2, 1392, 10],[2, 1750, 8],[2, 2107, 3],[2, 2464, 34],[2, 2821, 5],[7, 678, 18],[7, 1035, 19],[7, 1392, 4],[7, 1750, 1],[7, 2107, 19],[7, 2464, 33],[7, 2821, 99],[12, 678, 62],[12, 1035, 1],[12, 1392, 6],[12, 1750, 18],[12, 2107, 9],[12, 2464, 20],[12, 2821, 94],[17, 678, 3],[17, 1035, 13],[17, 1392, 2],[17, 1750, 10],[17, 2107, 13],[17, 2464, 23],[17, 2821, 64],[22, 678, 3],[22, 1035, 3],[22, 1392, 22],[22, 1750, 7],[22, 2107, 1],[22, 2464, 13],[22, 2821, 207],[27, 678, 2],[27, 1035, 1],[27, 1392, 1],[27, 1750, 2],[27, 2107, 19],[27, 2464, 9],[27, 2821, 367],[32, 678, 4],[32, 1035, 4],[32, 1392, 9],[32, 1750, 6],[32, 2107, 17],[32, 2464, 39],[32, 2821, 21]
[2, 678, 33],[2, 1035, 82],[2, 1392, 78],[2, 1750, 1],[2, 2107, 14],[2, 2464, 33],[2, 2821, 16],[7, 678, 122],[7, 1035, 3],[7, 1392, 15],[7, 1750, 46],[7, 2107, 21],[7, 2464, 12],[7, 2821, 15],[12, 678, 14],[12, 1035, 7],[12, 1392, 8],[12, 1750, 1],[12, 2107, 6],[12, 2464, 169],[12, 2821, 35],[17, 678, 17],[17, 1035, 4],[17, 1392, 14],[17, 1750, 3],[17, 2107, 4],[17, 2464, 79],[17, 2821, 17],[22, 678, 2],[22, 1035, 16],[22, 1392, 5],[22, 1750, 17],[22, 2107, 3],[22, 2464, 1],[22, 2821, 5],[27, 678, 2],[27, 1035, 1],[27, 1392, 4],[27, 1750, 2],[27, 2107, 13],[27, 2464, 60],[27, 2821, 180],[32, 678, 11],[32, 1035, 2],[32, 1392, 2],[32, 1750, 3],[32, 2107, 3],[32, 2464, 29],[32, 2821, 64]
[2, 678, 8],[2, 1035, 57],[2, 1392, 16],[2, 1750, 48],[2, 2107, 14],[2, 2464, 7],[2, 2821, 38],[7, 678, 114],[7, 1035, 42],[7, 1392, 27],[7, 1750, 25],[7, 2107, 2],[7, 2464, 21],[7, 2821, 1],[12, 678, 38],[12, 1035, 2],[12, 1392, 35],[12, 1750, 4],[12, 2107, 8],[12, 2464, 127],[12, 2821, 193],[17, 678, 26],[17, 1035, 13],[17, 1392, 2],[17, 1750, 6],[17, 2107, 22],[17, 2464, 238],[17, 2821, 166],[22, 678, 1],[22, 1035, 6],[22, 1392, 5],[22, 1750, 1],[22, 2107, 11],[22, 2464, 32],[22, 2821, 233],[27, 678, 7],[27, 1035, 7],[27, 1392, 1],[27, 1750, 1],[27, 2107, 9],[27, 2464, 131],[27, 2821, 180],[32, 678, 1],[32, 1035, 2],[32, 1392, 18],[32, 1750, 1],[32, 2107, 38],[32, 2464, 1],[32, 2821, 85]
[2, 678, 27],[2, 1035, 52],[2, 1392, 17],[2, 1750, 7],[2, 2107, 4],[2, 2464, 21],[2, 2821, 61],[7, 678, 50],[7, 1035, 21],[7, 1392, 43],[7, 1750, 4],[7, 2107, 9],[7, 2464, 1],[7, 2821, 64],[12, 678, 80],[12, 1035, 33],[12, 1392, 40],[12, 1750, 9],[12, 2107, 23],[12, 2464, 3],[12, 2821, 4],[17, 678, 11],[17, 1035, 31],[17, 1392, 22],[17, 1750, 21],[17, 2107, 2],[17, 2464, 80],[17, 2821, 85],[22, 678, 7],[22, 1035, 17],[22, 1392, 3],[22, 1750, 6],[22, 2107, 7],[22, 2464, 99],[22, 2821, 23],[27, 678, 11],[27, 1035, 7],[27, 1392, 1],[27, 1750, 1],[27, 2107, 22],[27, 2464, 48],[27, 2821, 85],[32, 678, 9],[32, 1035, 2],[32, 1392, 15],[32, 1750, 1],[32, 2107, 11],[32, 2464, 56],[32, 2821, 16]
[2, 678, 138],[2, 1035, 16],[2, 1392, 5],[2, 1750, 7],[2, 2107, 4],[2, 2464, 19],[2, 2821, 30],[7, 678, 16],[7, 1035, 17],[7, 1392, 3],[7, 1750, 7],[7, 2107, 31],[7, 2464, 5],[7, 2821, 14],[12, 678, 20],[12, 1035, 6],[12, 1392, 17],[12, 1750, 17],[12, 2107, 10],[12, 2464, 52],[12, 2821, 30],[17, 678, 13],[17, 1035, 2],[17, 1392, 2],[17, 1750, 6],[17, 2107, 1],[17, 2464, 25],[17, 2821, 198],[22, 678, 8],[22, 1035, 1],[22, 1392, 1],[22, 1750, 4],[22, 2107, 20],[22, 2464, 17],[22, 2821, 47],[27, 678, 1],[27, 1035, 1],[27, 1392, 4],[27, 1750, 3],[27, 2107, 5],[27, 2464, 1],[27, 2821, 124],[32, 678, 3],[32, 1035, 5],[32, 1392, 2],[32, 1750, 12],[32, 2107, 9],[32, 2464, 6],[32, 2821, 130]
