50.00497 35.99862 37.00648
50.01523 36.99766 36.99766
49.01579 38.00767 36.99531
49.00543 38.99537 36.99534
48.00242 39.98087 36.98275
47.99438 40.98987 36.00314
47.99092 41.98588 37.01466
46.99774 43.00068 36.98575
47.99456 44.00111 36.98849
47.00376 43.99399 36.99708
45.99398 44.01852 35.99987
44.98942 45.00823 35.98779
44.00209 45.9804 35.98672
44.00197 47.00738 35.00171
43.99884 47.99699 35.98521
43.9928 47.99539 37.01057
45.00344 48.98237 38.00324
45.99615 48.99323 39.00612
45.01031 50.00931 39.99161
45.99691 49.00331 41.00976
45.99521 48.99814 41.98894
46.98804 48.00813 42.01356
47.99928 47.01004 43.00362
46.99355 47.00361 43.01538
46.99964 46.01565 43.9738
46.00822 45.00087 42.99701
45.00092 43.98012 42.9978
44.00357 43.01478 43.99482
44.99192 41.99498 44.00915
45.00329 40.9947 44.00513
44.00097 40.00969 43.99298
42.99672 38.99608 42.98536
43.00296 38.00261 44.00005
41.99765 36.98585 42.99579
41.99657 35.99198 43.99839
41.00404 36.01886 44.00175
41.00258 35.99926 44.98081
41.99973 36.0006 45.02463
42.99808 36.00302 45.99965
41.98831 36.01143 47.00752
41.00791 34.99091 46.01403
40.98598 35.00587 45.0219
40.99009 33.99434 44.001
41.99497 34.98449 44.00069
41.98938 34.00474 44.99081
43.0155 33.99217 45.99678
42.00814 32.98769 45.00227
43.01307 32.98393 44.00185
44.0026 34.00782 43.98763
44.9868 35.00522 44.00297
46.0025 35.00346 43.9932
45.00232 36.00293 42.99286
44.01866 37.00474 43.98809
45.00657 37.99025 43.00787
46.01159 37.99179 43.00963
47.00413 39.00822 42.01897
46.99755 39.99246 41.9911
47.99184 40.99923 41.00341
47.00277 42.00827 40.00013
48.01454 42.99735 39.0272
48.00626 43.99143 39.98929
49.00482 44.99777 40.00714
50.00473 43.99927 39.99153
48.98485 44.99553 39.00856
50.00214 45.98754 39.00173
49.00385 46.99116 39.00154
49.00058 45.98857 39.00358
48.00561 46.01083 39.01054
47.98622 44.99062 39.00515
48.00514 44.00515 38.03853
49.00571 43.01136 38.00954
49.00651 41.99685 37.00759
48.99227 40.99763 37.99515
49.00082 40.02315 36.98133
49.00686 38.98387 37.99528
48.01089 38.00064 36.98922
48.99285 37.0068 36.9927
48.00216 36.00046 35.99348
49.02144 36.00634 35.97975
48.00186 34.99338 37.00852
47.99207 34.99885 38.00505
47.00866 33.988 38.99665
45.99525 34.99347 40.01765
45.00405 33.98739 39.00918
44.02122 34.01032 38.98481
42.99516 35.01267 39.99292
43.00444 34.00775 40.99073
41.9994 32.96759 40.98976
42.99747 33.98752 42.01632
43.9857 33.9956 43.00131
44.01441 34.98564 44.01163
44.0001 33.99018 45.00462
44.00199 32.994 45.0007
44.99615 34.00114 46.00662
44.01586 32.98762 47.02133
44.98048 32.99848 48.00588
46.00281 32.99377 48.99792
44.99507 32.99411 50.0085
